Sl No,Zone,Organisational District,Organisational Mandal,LSG Name,LSG Type,Team,LSGI Coverage Date,Seat Call,BJP Seat Count,LDF Seat Count,UDF Seat Count,Independent/Others,Reasoning,
87,Thiruvananthapuram,Alappuzha South,Karthikappalli,Karthikapally,Grama Panchayat,Team 2,5 December,Deadheat,6-7,6-7,1-2,,"The BJP aims to win 7 wards by relying on the strong track record of its sitting members in Wards 3, 4, 8, and 12, who are banking on the success of Central projects. However, the party faces significant hurdles: anti-incumbency in Ward 2 due to an inactive member, internal sabotage in Ward 14 from Seva Bharathi workers, and a difficult community equation where the SNDP favors the Left and NSS votes getting split.",Under R1 Review
88,Thiruvananthapuram,Alappuzha South,Karthikappalli,Muthukulam,Grama Panchayat,Team 2,5 December,BJP Behind,3,8-9,4-5,,"The BJP's outlook in Muthukulam is grim, with the party positioned to lose its sitting seats (Wards 4 & 13) due to anti-incumbency caused by the candidates' inaccessibility and non-performance.  While Ward 16 offers a glimmer of hope due to the active groundwork of the Sangh, the overall campaign is collapsing due to low funds, inactive booth committees, and a lack of coordination with the Sangh. Additionally, the shift of SNDP support to the LDF further isolates the party in this election.",Under R1 Review
89,Thiruvananthapuram,Alappuzha South,Kayamkulam,Devikulangara,Grama Panchayat,Team 2,4 December,BJP Behind,6 - 7,8,1-2,,"The BJP aims to secure 6-7 wards by strategically using social engineering in Ward 13, consolidating NSS votes against the other two candidates from the Ezhava community, and capitalizing on candidate popularity in Ward 4 and Ward 9. 
While they hold an advantage in Ward 8 due to the LDF candidate's criminal background, internal factionalism in Ward 12 and a cross-party alliance in Ward 11 present challenges, requiring concentrated effort to hold onto their sitting seats.","Under R1 Review, Under R2 Review"
90,Thiruvananthapuram,Alappuzha South,Kayamkulam,Pathiyoor,Grama Panchayat,Team 2,4 December,BJP Behind,7-9,10-12,1-3,,"The BJP faces a tough battle in Pathiyoor, with realistic chances in upto 9 wards only. While wards 3, 4 and 13 are considered to be certain victories, the remiander of the campaign is dominated by competitive races and wards with low chances of success. Specifically wards 11 and 16 are out of reach due to presence of rebel candidates and internal party conflicts, in addition to  the losses already expected in wards 6,7 and 9 due to poor candidate selection. ","Under R1 Review, Under R2 Review"
91,Thiruvananthapuram,Alappuzha South,Mannar,Budhannur,Grama Panchayat,Team 2,3 December,BJP Behind,5-7,7-9,1-3,,"The BJP's biggest advantage here comes from the CPM's internal rebellion triggered by Minister Shri Saji Cherian's interference in denying tickets to senior leaders this time. However, the BJP faces significant risks: the UDF is effectively consolidating the Christian vote, and ground reports suggest that even the BJP's sitting seats are vulnerable wherever the opposing candidate is more popular. The election is a tight race where retaining existing seats is just as critical as winning new ones.","Under R1 Review, Under R2 Review"
92,Thiruvananthapuram,Alappuzha South,Mannar,Chennithala -Thripperuthura,Grama Panchayat,Team 2,3 December,Deadheat,7-9,7-9,1-2,,"The BJP is aiming to win the Panchayat this time by targeting 13 wards, backed by a disciplined RSS-monitored campaign and dedicated squads for door-to-door outreach. A key issue the party is focusing on is the neglect of PWD roads in BJP-ruled Ward 14, highlighting the political neglect by the LDF. 
However, the final outcome will depend on the party's ability to secure votes in 7 crucial battleground wards, where the contest remains extremely tight.","Under R1 Review, Under R2 Review"
93,Thiruvananthapuram,Alappuzha South,Mannar,Puliyur,Grama Panchayat,Team 2,2 December,Deadheat,6-8,6-8,1-2,,"The BJP is in a strong position by leading in 6 out of 8 target wards and effectively using the Jal Jeevan Mission failure as a major campaign tool against the ruling body. While the party faces a minor internal rebellion which is considered harmless, they are set to gain significantly from the CPM’s internal infighting, which is expected to swing crucial votes to BJP candidates.",Under R1 Review
94,Thiruvananthapuram,Alappuzha South,Mavelikkara,Mavelikkara,Municipality,Team 1,3 December,Deadheat,11-12,,10-12,,"The BJP is competitive in Mavelikara because the overall political landscape is fragmented and the municipality’s Hindu-majority demography naturally gives the party a solid baseline. But they are struggling to convert this advantage into a clean lead due to internal problems: weak organisational strength, all major office-bearers contesting (leaving fewer workers on the ground), repeated Mandal leadership changes that upset many of the sitting councillors, and two rebels, in Ward 2 (former OBC Morcha Mandal President) and Ward 26 (Asha worker), directly cutting the party’s vote. Candidate-selection disputes and denial of tickets to five sitting councillors (including Shri Gopan Sarga) further creates internal tussles. Even then, the BJP remains strong in the central belt from Krishnaswamy Temple to Thattarambalam and has good prospects in key wards like 1, 2, 11, 14, 17, 18, 20, 21, 22, 23, and 26. With the LDF weakening and the UDF not having major rebel issues, the BJP can realistically secure 11–12 wards and emerge as the single largest party.",Under R1 Review
95,Thiruvananthapuram,Alappuzha South,Mavelikkara,Mavelikkara -Thamarakkulam,Grama Panchayat,Team 2,3 December,BJP Behind,5-7,2-3,7,1-2,"The BJP is capitalising on the collapse of the LDF, whose core base (ASHA/Kudumbashree workers) and cadres are rebelling against the leadership. Fueled by the success of the ""Vikasitha Thamarakulam"" seminar, the BJP aims to become the single largest party. However, the path to the presidency is difficult due to the lack of winnable independent candidates and the likelihood of a UDF-PDP-SDPI coalition blocking them in a post-election hung verdict.",Under R1 Review
96,Thiruvananthapuram,Alappuzha South,Mavelikkara,Thazhakkara,Grama Panchayat,Team 2,3 December,Deadheat,9-11,9-11,1-2,,"The BJP is ambitious in this election, expanding its target to 15 wards based on the strong track record of its leadership of the Health and Education Standing Committee and performance of itssitting members. However, the election remains a tight battle against the LDF. Key opportunities lie in Ward 20 (due to CPI internal issues) and Ward 21 (driven by the youth appeal of the candidate Shri Byju ( Annayi)).",Under R1 Review
97,Thiruvananthapuram,Pathanamthitta,Adoor,Earathu,Grama Panchayat,Team 8,3 December,BJP Behind,6,7,4,,"Out of total 17 seats 11 seats are witnessing traingular contest between LDF, UDF and NDA among which BJP is now targetting to win 9 seats.Among these 9 seats bjp will surely win 4 seats from the Choorikkod school region. In ward 11 and 4 BJP is facing tight fight. However as of now no front is expected to gain clear majority, with LDF niow has a chance of becoming the single largest front",
98,Thiruvananthapuram,Pathanamthitta,Aranmula,Naranganam,Grama Panchayat,Team 8,2 December,Deadheat,4-6,5-7,3-5,,"Naranganam panchayath is witnessing a traingular fight between LDF UDF and NDA. NDA is sure of raising their tally to 4 from the current 2 seats. NDA's tally may rise to 6 seats under most favourable condition,thereby becoming the single largest alliance. e NDA's  improoved perfomance  is due to better candidate selection and syatamatic ground work increased the chance of BJP's winnability. In wards like kadamanitta BJP had conducted several family gatherings which is boosting the party's prospectus. The other major advantahe of NDA in this ward is that in several wards the candidate fileded by the UDF and LDF is weaker than NDA.",
99,Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Grama Panchayat,Team 8,5 December,BJP Behind,5-6,4,9,,"The ""Swarnapalli"" controversy and local frustration with the Devaswom Board President have consolidated support. However, despite this momentum in key strongholds, the UDF is projected to emerge as the largest alliance, with voters emphasizing that the BJP needs more personal, direct outreach to expand beyond its core base.",
100,Thiruvananthapuram,Pathanamthitta,Aranmula,Koiparam,Grama Panchayat,Team 8,5 December,BJP Behind,3-4,5,7,3,"In the last election, BJP built strong momentum in the panchayat due to active media support and involvement in social issues, particularly the service efforts of cadre workers during corona and floods. Four out of five BJP councillors were from flood-affected areas, which helped their public image. However, internal conflicts, inefficiency among party members, and serious allegations against a councillor, along with the presence of rebel candidates in Wards 11 and 12, have weakened the party. Congress and LDF have strengthened their campaigns, with LDF also using independent-backed candidates strategically. Wards 1, 2, 18, and 15 have a majority Christian population, limiting BJP’s prospects there, while Congress is targeting around 9 seats, including BJP’s strong Ward 5. Triangular contests are likely in Wards 12, 13, and 16, with a close fight between BJP and LDF in Ward 17. Overall, BJP may see its seat count reduce from 5 to 3–4, with LDF and UDF in tight competition to gain control of the panchayat.",
101,Thiruvananthapuram,Pathanamthitta,Ayiroor,Ayiroor,Grama Panchayat,Team 8,4 December,Deadheat,4-7,4-5,4-7,,"BJP has built a strong vote base with 200+ votes in almost every ward, creating a dead-heat situation with both LDF and UDF in this LDF-led panchayat. The Ayiroor Cooperative Bank scam, huge society debt involving 3 LDF councillor board members, and CPI–CPM internal conflicts (with two LDF rebels in Wards 1 & 4 and one UDF rebel in Ward 8) have significantly weakened LDF. BJP’s performance is mixed, with Ward 8 likely slipping due to a strong Congress candidate and councillor inefficiency, while Wards 4, 9, and 10 remain highly favourable due to strong candidates, minority consolidation, and organisational weight. UDF has improved its campaign and candidate selection, making several wards competitive for them as well. Overall, BJP and UDF each hold the potential to win 4–7 seats, largely at the expense of LDF’s traditional base.",
102,Thiruvananthapuram,Pathanamthitta,Ayiroor,Kottanad,Grama Panchayat,Team 8,4 December,Deadheat,4-6,3-4,4-6,,"The panchayat is split regionally Vrindhavanam remains LDF-dominant, Chalapally sees a BJP–LDF fight in Ward 13 and triangular contests in Ward 14, while Perumpatty is witnessing a surge in UDF strength despite BJP holding two seats.
Congress (UDF) has emerged as the biggest new force, with its internal leadership disputes fully resolved and a sharp revival in campaign intensity and organization, marking a major comeback from winning only one seat last time.
BJP holds a firm grip in Ward 13 and has gained advantage in Ward 8 due to delimitation and minority support, though organizational issues and weak candidates in Wards 1 and 2 remain limitations.
LDF is weakened by CPI–CPM friction, rebels in Wards 7 and 8, and reliance on independent symbols in around 10 wards.
Overall, Congress-led UDF and BJP are each expected to secure 4–6 seats, while LDF is likely limited to 3–4 seats.",
103,Thiruvananthapuram,Pathanamthitta,Ayiroor,Kottangal,Grama Panchayat,Team 8,4 December,BJP Behind,3-4,2-3,2,4-5,"This controversial panchayat, where LDF governs with SDPI support, is infamouus for the 2021 “I am Babri” incident from Chunkappara. SDPI holds high significance in the election, with strong presence in four wards and a clear winning edge in Wards 6, 8, and 12, supported by their consistent local service work. BJP has realistic prospects only in Wards 3, 13, 4, 5, and 7, but SDPI’s firm stance to block BJP and the strong Muslim demographic across most wards limit their expansion. With cross-voting and material influence expected to drive outcomes, even if BJP becomes the single largest party, unified opposition alliances will prevent them from taking control of the panchayat.",
104,Thiruvananthapuram,Pathanamthitta,Ayiroor,Cherukol,Grama Panchayat,Team 8,4 December,Deadheat,4-6,3- 4,2-3,,"The BJP is predicted to win  3 to 5 seats, but securing 7 seats to form a single-party government is considered difficult.
The wards have been restructured, making the political situation highly unpredictable. 
Wards that the BJP previously won have been altered to include more Christian and Muslim voters, making the fight tight for the BJP.",
105,Thiruvananthapuram,Pathanamthitta,Chittar,Malayalapuzha,Grama Panchayat,Team 8,2 December,BJP Behind,3,7-9,2,,"Malayalappuzha is witnessing  fight between LDF and  BJP with LDF has clear edge. UDF has rebels in their 2 out of 3 sitting ward which will benefit LDF. BJP campaign work is limited in the panchayath and even pro BJP voters in pothiappadu are complaining about the inefficency in the campaigning of the BJP. BJP's election work is soley depend on the grass root strength of the RSS. BJP Currently has 4 sitting seats. 2 out of BJP's 4 sitting seats are facing tight fight. The cross voting strategy of LDF and UDF ,Inadequate fund(Only 70000 received for 14 wards till date), lack of  family gatherings etc pulling BJP behind.",
106,Thiruvananthapuram,Pathanamthitta,Konni,Kalanjoor,Grama Panchayat,Team 8,3 December,BJP Behind,,,,,The BJP is targeting 11 seats in Kalanjoor.UDF campaign is weak and lacks youth support. BJP is  building strong support among the Nair community in Kalanjoor and the Ezhava community in Koodal. The recent swarnapalli controversies have hurt the LDF's image. Good candidate choices and active house visits make the BJP confident of keeping 3 out of 4 sitting seats. Currently LDF has an edge in the Panchayath,
107,Thiruvananthapuram,Pathanamthitta,Mallappally,Kaviyoor,Grama Panchayat,Team 8,5 December,Deadheat,5-7,5-7,2,1,"Previous panchayat president’s strong public image and earlier development initiatives support the BJP, unresolved issues such as the panchayat’s water crisis and internal cadre dissatisfaction have weakened the party’s ground strength. Campaign activity in areas like the Hanuman Swami Temple and NSS School remains low across all parties, though BJP holds local favour there. BJP faces tough contests in key sitting wards, especially Ward 1 due to women reservation and LDF’s strong candidate,while Wards 2 and 8 remain uncertain, and Ward 4 is a strategic opportunity with Christian support. LDF shows strong organizational presence in Wards 2, 4, 5, 6 and 14, whereas UDF remains weak with limited candidates and low influence. Overall, BJP and LDF are in a close fight, with BJP holding a slight edge in the current scenario.",
108,Thiruvananthapuram,Pathanamthitta,Pandalam,Pandalam,Municipality,Team 8,3 December,Deadheat,13-15,,,,"The BJP is in a dead heat despite favorable demographics  and a successful administrative record, which included cleaning the polluted Muttar water channel and improving facilities for Sabarimala devotees. However, the party's severe internal factionalism and organizational weakness are the single biggest cause of anti-incumbency, allowing the LDF to effectively use viral cartoon posters to highlight the infighting. Although the ""Swarnapalli"" issue has recently shifted momentum to the BJP's advantage, the party faces tight competition across multiple wards. Leveraging 11 identified ""sure seats"" and expected Christian support in Ward 21, the BJP is predicted to win 13 to 15 seats, emerging as the single largest party.",
109,Thiruvananthapuram,Pathanamthitta,Pandalam,Panthalam-Thekkekkara,Grama Panchayat,Team 8,3 December,Deadheat,13-15,,,,"With a target of 10 out of 15 seats, the BJP has a strong chance to capture power in the Panchayat, holding slight edge in 8 wards due to favorable demographics and support gained during the Sabarimala protests. However, the campaign is weakened by a lack of organized house visits and a failure to effectively use local cooperative bank scams against the LDF.  ",
110,Thiruvananthapuram,Pathanamthitta,Pathanamthitta,Kulanada,Grama Panchayat,Team 8,3 December,BJP Ahead,7-9,3-5,3-4,,"BJP, currently holding 8 seats in Kulanada Panchayath, is targeting 12 seats this time, with 4 wards showing near-certain winnability and strong organisational strength visible in wards 4, 10, 15 and 17. Its performance, however, is affected by inefficiency in Ward 1, a rebel candidate in Ward 3, internal dissatisfaction from the panchayath president’s below-par functioning, and overall public frustration over governance inefficiency. Congress is active in Wards 1–5 with strong presence in Ward 7, LDF faces rebels in Ward 15, BJP has direct contests with Congress in 5 wards and LDF in 9 wards, while community dynamics show NSS supporting BJP, SNDP having limited influence, and KPMS leaning towards LDF.",
111,Thiruvananthapuram,Pathanamthitta,Pathanamthitta,Omalloor,Grama Panchayat,Team 8,2 December,BJP Behind,4,5,6,,"Omalloor is witnessing a triangular fight with LDF has an edge. INC has little presence in the campaign, but have strong vote base among the christian community whom will again vote for the INC in large numbers. BJP is expected to win atleast 4 wards named Imali West, Imali East, Paivally and Pannyali.  BJP  campaign is negatively affected due to the absence of  state and district level leaders participation in campaigns and conventions. The absence of  higher level leaders from  christian community is affecting the party's capability to woo christian votes.",
112,Thiruvananthapuram,Pathanamthitta,Ranni,Ranny Perunadu,Grama Panchayat,Team 8,4 December,Deadheat,5-7,7-8,2,,"Among the 15 seats BJP is aiming to capture power in the panchayath by targeting 10 seats. As of now NDA  is in a position to retain the all  5 sitting seats.  NDA is facing tight fight in Mukkam,Puthukada,Kisumam,Kannannumon and Nedumon. UDF which finished second in 9 seats last time has good chance of winning  Madathummoozhi,Arayanjilimon
Thulappally,Manakkayam wards. The sabarimala ward (ward 9) in which sabarimala temple is situated is included in this panchayath. Eventhough BJP is ahead in this ward , there is a chance of loosing this ward due to the shortage of fund. Adquate funds are needed to mobilise the tribal voters by arranging vehicle and food for them in the voting day.",
113,Thiruvananthapuram,Pathanamthitta,Thiruvalla,Kuttoor,Grama Panchayat,Team 8,5 December,BJP Behind,3,7,5,,"Kuttoor GP has 15 wards (earlier 14) with LDF holding 8 seats, UDF 3, and NDA 3, and BJP currently behind. BJP ruled in 2015 but lost due to administrative issues and internal conflicts. This year, BJP is focusing only on strong wards, keeping its chances around 3–4 seats. There are internal disputes in both LDF and UDF, and allegations of monetary inducements involving LDF members. A rising Christian support trend is visible for BJP, especially in Wards 6 & 7, driven by perceptions of central schemes and foreign policy, though the impact remains limited for the local election.

",
114,Thiruvananthapuram,Pathanamthitta,Thiruvalla,Nedumpram,Grama Panchayat,Team 8,5 December,BJP Behind,3-5,5-7,1-2,,"The BJP’s competitive position in seven seats .Furthermore, BJP is capitalizing on the Congress's organizational weaknesses and internal rebel candidates. BJP may make some gains from last election despite  LDF's overall advantage.",
115,Thiruvananthapuram,Kollam East,Anchal,Anchal,Grama Panchayat,Team 4,5 December,,4,11,6,,"Anchal Panchayat is heading into a tight triangular contest where BJP, despite having a strong underlying vote base and historical second-place strength in nearly 15 wards, is weakened by severe organisational issues and leadership instability. The exit of former Mandalam President Umesh Babu disrupted the earlier cohesive structure, and the new leadership has not been able to manage internal factionalism or candidate-related conflicts. Financial scarcity and inactive ward-level machinery further restrict the party’s ability to convert potential into victories. Except for Agastyakode—where BJP holds around 80% win probability due to long-term dominance—the party’s prospects remain uncertain across the board. Overall, BJP is structurally strong but electorally fragile, and unless internal unity is restored, the party is likely to remain predominantly in second place rather than securing multiple wins.
",
116,Thiruvananthapuram,Kollam East,Kottarakkara,Mylom,Grama Panchayat,Team 4,3 December,BJP Ahead,9,6,4,1,"Mylom Grama Panchayat has strong BJP potential, but the lack of essential campaign materials, symbols, posters, banners, and flags from central leadership has created a visible gap on the ground. Meanwhile, LDF and UDF are running well-funded, high-visibility campaigns. The Panchayat is predominantly NSS-majority, with Christians, SNDP, and Vishwakarma following, giving BJP a demographic advantage. Anti-incumbency sentiment and Sabarimala-related issues generate negative perception against LDF, likely converting into consolidated BJP votes. New SC/ST and women candidates face visibility challenges, but the recent inclusion of the UDF Mahila Morcha District Secretary into BJP adds momentum, especially among women voters. Several wards, including triangular contests (Wards 2, 7, 13) and previously second-place finishes (Wards 16, 17), present opportunities. With immediate funding and deployment of campaign materials, BJP can convert favorable sentiment into 8–12 seats. Timely action is crucial to counter LDF/UDF campaign advantages and secure the Panchayat administration.",
117,Thiruvananthapuram,Kollam East,Kottarakkara,Ummannoor,Grama Panchayat,Team 4,3 December,BJP Behind,4,12,4,2,"Ummannoor Grama Panchayat, now with 22 wards, remains a strong LDF bastion with experienced and well-known candidates, giving them a clear edge. BJP, though winning three seats last term, faces internal organisational issues, factionalism, and fallout from whip violations, weakening its position. The dominance of the RSS Praudha Pramukh family in Valakom further limits BJP’s operational control. Expelled members have partially returned, but overall cohesion and public support remain low. LDF candidates are politically experienced, while most BJP candidates are new and less active. Triangular contests in key wards like Velangara and other Ummannoor areas show BJP struggling to consolidate votes. Factionalism, candidate replacements, and resentment among cadres have split the Hindu vote base. UDF’s stronghold candidates and LDF dominance, coupled with BJP’s internal fractures, restrict BJP’s realistic winning potential to few seats.",
118,Thiruvananthapuram,Kollam East,Kunnathur,Kunnathur,Grama Panchayat,Team 4,4 December,BJP Behind,5,9,2,1,"Kunnathur Panchayat is poised to remain under LDF influence, with the front holding structural advantages in roughly 9 out of 17 wards, reinforced by strong candidate selection, stable organisation, and minimal anti-incumbency. BJP, despite pockets of strength in NSS-dominant areas, favourable SC-reserved wards, and a few constituencies where it previously finished first or second, is constrained by uneven candidate quality, limited community alignment in several wards, and the lingering organisational setback from the previous by-poll defeat. Independent candidates like Dileep, combined with UDF and LDF rebel independents, further fragment the anti-LDF space, pulling votes away from BJP in critical wards. SNDP-heavy zones and Muslim-influenced pockets also restrict BJP’s consolidation. While BJP has clear winning potential in about five wards, mainly SC-reserved, NSS-friendly, and previously competitive segments, the broader Panchayat dynamics overwhelmingly favour the LDF, making an BJP takeover unlikely.
",
119,Thiruvananthapuram,Kollam East,Kunnathur,Pavithreswaram,Grama Panchayat,Team 4,4 December,BJP Behind,5,14,2,1,"Pavithreshwaram Panchayat is strongly positioned to remain with the LDF, which enters the election with a clean record, highly educated and socially active candidates, and deep community alignment across NSS, SNDP, and Christian sections. With no major allegations against sitting members and consistently strong organisational machinery, LDF enjoys a comfortable lead in most wards. BJP, while structurally weaker, is witnessing its strongest performance so far through aggressive 25+ member squad campaigning and improved booth-level activity, helping it rise to a clear second position; however, its candidate pool is limited by narrow social influence, particularly among SNDP and Christian voters. UDF, facing weak mobilisation, low-quality candidates, and internal vote leakage, is expected to fall significantly behind, with its votes splitting toward both BJP and LDF. Given these dynamics, Pavithreshwaram is firmly an LDF-held Panchayat, with BJP improving but still far from capturing control, and UDF slipping to a distant third.",
120,Thiruvananthapuram,Kollam East,Kunnathur,Poruvazhi,Grama Panchayat,Team 4,4 December,Deadheat,9,6,3,,"BJP currently holds five wards in Poruvazhy Grama Panchayat and is projected to win around 9-11 seats. Strong candidate selection, aligned with community considerations, has significantly improved BJP’s prospects. The panchayat’s caste composition is dominated by NSS, followed by SNDP, KPMS, and Christians. BJP has fielded politically active, prominent, and community-aligned candidates across competitive wards, including SC-reserved, SNDP-majority, Nair-majority, and mixed wards. Rebel candidates in two wards split LDF and UDF votes, further aiding BJP. Strategically placed KPMS and NSS candidates ensure vote consolidation, while former members and sitting members’ relatives contesting increase continuity and local networks. Strongholds of CPI(M) are expected to hold, but their influence does not materially affect BJP’s overall projection. Financial allegations against LDF incumbents weaken their support. Close previous margins suggest winnability with minimal swing. Overall, BJP is positioned to capture 8–12 seats, with a realistic possibility of crossing 11.",
121,Thiruvananthapuram,Kollam East,Neduvathur,Kareepra,Grama Panchayat,Team 4,3 December,BJP Behind,7,10,1,1,"Kareepra Panchayat, with 19 seats, shows a significantly favourable landscape for the BJP compared to the previous cycle. The party, which held only three wards last term, now has seven seats firmly assured—Plakkode, Elayam, Wakkanadu, Gurunathanmukku, Kareepra, one Ezhava-majority ward, and Madanthankodu—driven by strong caste alignment, repeat candidates with established goodwill, and active mobilisation by temple-related organisations. In 11 wards, the contest is a direct BJP–LDF fight, where LDF retains organisational strength but faces emerging anti-incumbency and demographic disadvantages. Congress remains weak or irrelevant in most wards, reducing triangular fragmentation and working to the BJP’s benefit. The only serious constraint is the severe lack of campaign funds across wards, which has stalled even basic activities like announcements and material distribution. Despite this, BJP’s demographic alignment, candidate strength, and grassroots consolidation place the party on track for 7 assured wins and the potential to secure up to 9 seats, making Kareepra one of the more promising panchayats for the BJP in the region.",
122,Thiruvananthapuram,Kollam East,Neduvathur,Kulakkada,Grama Panchayat,Team 4,3 December,BJP Behind,5,9,5,1,"BJP enters Kulakkada Panchayat with four sitting seats but faces intense triangular contests that put all of them at risk, with LDF emerging as the natural beneficiary if BJP falters. While favourable social equations and renewed campaign activity in areas like Erathu Kulakkada, Painamoodu, Kalayapuram, and Vendar give BJP an expansion window of up to 6–8 seats, organisational paralysis at the mandalam and district levels, financial shortages, and long-term inactivity of the panchayat committee significantly weaken its conversion capability. Public mood reflects a split, with BJP holding potential but lacking structural backing, making the final seat call a narrow edge for BJP at **5–6 seats**, with LDF positioned to capture any ward where BJP underperforms.",
123,Thiruvananthapuram,Kollam East,Neduvathur,Neduvathur,Grama Panchayat,Team 4,3 December,BJP Ahead,10,5,3,,"Neduvathur Grama Panchayat has 19 seats, with 7 currently held by sitting BJP members. BJP has the potential to influence or win up to 15 seats. Key factors favoring BJP include strong NSS vote bases, splits within LDF and UDF, community alignment in SC, SNDP, and Christian-dominated wards, and allegations against incumbents that reduce voter confidence. Internal conflicts among LDF/UDF candidates, coupled with multiple candidates from the same family or community, fragment votes in BJP’s favor. Local leaders and branch secretaries of NSS, SNDP, and BDJS play a pivotal role in mobilization, particularly in wards like Kurumbaloor, Kuzhakkad, and Thekkumpuram. Historical voting patterns and the support of former members now in BJP, such as Manish, further enhance prospects. Booth-level campaigning and vote consolidation will be critical. Overall, 15 wards show strong BJP winning potential.",
124,Thiruvananthapuram,Kollam East,Pathanapuram,Pattazhi,Grama Panchayat,Team 4,5 December,BJP Behind,4,8,3,,"Pattazhy is heading into a highly competitive triangular contest, with LDF retaining structural advantage and cadre discipline, while BJP has rapidly expanded its organisational footprint through temple networks, Sangh coordination, and early candidate deployment. Hindu-vote consolidation is helping BJP stay competitive in 10–11 wards, but the final outcome will depend on SC vote shifts in Nadutheri, Christian vote fragmentation in HS and Thekkethery, and the extent of cross-voting engineered at the ward level. UDF remains relevant only in selective pockets but can shape outcomes through triangular splits. Delimitation changes, especially in Thazhatthu Vadakku, introduce additional uncertainty.",
125,Thiruvananthapuram,Kollam West,Chathannoor,Chathannur,Grama Panchayat,Team 5,3 December,BJP Behind,4-6,6-8,5-6,0-1,"BJP is slightly trailing overall, while the LDF is projected to return to power this time. Campaign activities and door-to-door outreach are underway in almost all wards, except for four wards where the BJP remains organizationally weak. In the M.C. Puram ward, where the BJP previously won by a margin of 338 votes, strong anti-incumbency against the sitting member makes the seat difficult to retain. In this election, the BJP is likely to emerge as the main opposition behind the LDF.",
126,Thiruvananthapuram,Kollam West,Chathannoor,Adichanaloor,Grama Panchayat,Team 5,3 December,Deadheat,8-10,8-10,4-5,0-1,"BJP is in a dead heat with the LDF, with an edge in some wards, while 4–5 wards remain extremely close and likely to be decided by the final phase of campaigning. The party is receiving stronger support from traders and families with NRI ties, but Christian-dominated wards continue to pose challenges. Internal issues in a few areas are slowing down the BJP’s organisational work and limiting its prospects, and limited minority support remains another drawback.",
127,Thiruvananthapuram,Kollam West,Chathannoor,Chirakkara,Grama Panchayat,Team 5,2 December,BJP Behind,5-6,6-7,4-5,0-1,"The BJP had initially targeted 12 wards in Chirakkara Grama Panchayat including College Ward, Eram South, Uliyanadu, Chirakkara, Kulathoorkonam, Chirakkara Temple, Chirakkarathazham, Kuzhuppil, Nedungolam, Malakkayal, Nedungolam West and Vilappuram but after ground feedback, its realistic prospects have narrowed to just five wards: Kannetta, Kulathoorkonam, Chirakkara Temple, Nedungolam and Nedungolam West. The BJP remains behind overall due to a weak organisational structure, with party activity having declined significantly after the 2024 General Elections, coupled with poor candidate selection and the inability to bring back influential local leaders who are currently inactive. Due to these factors, the BJP is behind.",
128,Thiruvananthapuram,Kollam West,Chavara,Kollam,Corporation,Team 4,2 December,BJP Behind,12,28,16,,"Post-delimitation, the 56 wards of Kollam Corporation reveal a clear pattern: the BJP’s prospects are heavily shaped by internal factionalism, poor candidate selection, and caste-based vote arithmetic, while the LDF relies on incumbency and community consolidation, and the UDF struggles with weak candidates and fragmented vote bases. In several winnable wards such as Pattathanam, Vadakkavila and Ammannada, the BJP has undermined its own chances by sidelining strong candidates like Denny Sir, allegedly due to the District President’s interference and favouritism, resulting in avoidable vote erosion. Where BJP retains structural advantages, such as Palathara, Kadappakada, Uliyakovil and Kannimel West-56, outcomes hinge on micro-level caste consolidation, especially NSS and SNDP, and the involvement of influential community figures. LDF remains competitive in its strongholds like Vadakkavila, College, Uliyakovil, Thevally and Shakthikulanagara, though anti-incumbency, developmental grievances and vote splits give BJP entry points in select divisions. UDF, meanwhile, emerges largely as a spoiler, with inactive or weak candidates likely to fragment traditional Nair and minority votes, especially in Thevally, Ayathil and Punthalathazham. The clearest BJP pickup opportunities lie in Kannimel West-56, Shakthikulanagara, Punthalathazham and Vallikeezhu, provided community alliances are activated and campaign discipline is restored. Seats like Uliyakovil, Thevally and Kadappakada remain dead-heat contests, where single-digit vote shifts will decide outcomes. Overall, BJP’s electoral ceiling is shaped less by opposition strength and more by internal sabotage, mismanagement of caste equations and missed opportunities in candidate placement.
",
129,Thiruvananthapuram,Kollam West,Karunagappally,Kulasekharapuram,Grama Panchayat,Team 5,5 December,BJP Behind,10-11,7-8,4-5,,"The panchayat has historically been a CPM stronghold, with the LDF winning every election except in 1995, when the UDF briefly came to power. While the LDF is aiming for 18 wards, it faces rebel candidates in Wards 5, 6, and 18. The BJP is unlikely to benefit from the vote split, which is expected to favor the UDF. The BJP is targeting seven wards, with the analysis showing it leading in three and in a dead-heat contest in two.",
130,Thiruvananthapuram,Kollam West,Kundara,Elampalloor,Grama Panchayat,Team 5,4 December,Deadheat,7-8,7-8,4-5,,"BJP is currently in a dead-heat contest with LDF in the panchayat, and its initial projection of winning 14 wards has been revised to 8 confirmed wards with 2 remaining extremely close; the party is gaining in areas where candidates have strong community appeal, with heavy anti-incumbency in Kampikkada due to poor accessibility and bad roads benefiting BJP, supported by its past wins in 2010 and 2015, while in Kannayakuzhi, Thriveni and Colony, well-liked candidates such as Raji (ASHA worker) continue to attract strong voter support.",
